"Name","Geodaten"
"Neronia ( = Codigoro)","POINT(12.111532 44.832794)"
"Sacis Ad Padvm ( = ~ Codigoro)","POINT(12.111532 44.832794)"
"Ravenna ( = Ravenna)","POINT(12.196571 44.41573)"
"Sabis ( = Savio)","POINT(12.291541 44.310909)"
"Ad novas ( = Cesenatico)","POINT(12.395361 44.198948)"
"ARIMINO ( = Rimini)","POINT(12.566301 44.060917)"
"Pisavro ( = Pésaro)","POINT(12.915744 43.912067)"
"Fano Fvrtvnae ( = Fano)","POINT(13.016882 43.844868)"
"Claterna ( = Osteria Grande)","POINT(11.519838 44.427967)"
"Foro corneli ( = Imola)","POINT(11.71612 44.355911)"
"Faventia ( = Faenza)","POINT(11.88299 44.285347)"
"Foro Livi ( = Forlì)","POINT(12.042687 44.22123)"
"Foro popvli ( = Forlimpopoli)","POINT(12.126752 44.18877)"
"Cvrita cesena ( = Cesena, Curva Casena)","POINT(12.239124 44.13876)"
"Matavrvm Fl. ( = Fiume Metauro ~ Madonna del Ponte)","POINT(13.044763 43.830441)"
"Sena Galli ( = Senigallia)","POINT(13.218024 43.715015)"
"ANCONE ( = Ancona)","POINT(13.518757 43.615856)"
"Nvmana ( = Numana)","POINT(13.621412 43.511269)"
"Polentia ( = Porto Recanati)","POINT(13.66237 43.437519)"
"Foro Semproni ( = ~ Fossombrone)","POINT(12.813778 43.691723)"
"Adcalem ( = ~ Cagli)","POINT(12.648476 43.546806)"
"Ad Ensem ( = ? Scheggia)","POINT(12.667794 43.403271)"
"Halvillo ( = ? Fossato di Vicolo)","POINT(12.734799 43.293045)"
"Thacora ( = ~ Aïne Guettar)","POINT(8.041262 36.171581)"
"Nvcerio Camellaria ( = Nocera Umbra)","POINT(12.788436 43.113899)"
"Foro Fla̅mini ( = San Giovanni Profiamma)","POINT(12.705819 42.982281)"
"Mevanie ( = Bevagna)","POINT(12.609389 42.934872)"
"Avsimo ( = Osimo)","POINT(13.482407 43.486092)"
"Ricina ( = Villa Potenza)","POINT(13.422732 43.326763)"
"Vrbesalvia ( = Urbisaglia)","POINT(13.373907 43.192352)"
"Asclopiceno ( = Ascoli Piceno)","POINT(13.574977 42.855404)"
"Castello Firmani ( = Santa Maria a Mare)","POINT(13.802075 43.16151)"
"Cvpra Maritima ( = Cupra Marittima)","POINT(13.858923 43.030949)"
"Pavsvlas ( = ~ San Claudio)","POINT(13.502269 43.275162)"
"Firmoviceno ( = Fermo)","POINT(13.724222 43.16563)"
