"ID_morph_Typ","morph_Typ","morph_Typ_Sprache","morph_Typ_Wortart","morph_Typ_Genus","Id_basistyp","Basistyp","Sprache_Basistyp","Georeferenz"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.15428 46.11305)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.21896 46.11351)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.19243 46.15831)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.2574 46.14076)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.36063 46.16837)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.03582 46.22908)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.10078 46.22061)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.15249 46.23)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.15249 46.23)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.17814 46.24818)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.17814 46.24818)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.20434 46.23037)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.20434 46.23037)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.25668 46.19474)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(13.94023 46.48016)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.07259 46.35535)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.07198 46.39133)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.11025 46.43662)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.12399 46.39174)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.17667 46.34714)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.17667 46.34714)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.21628 46.30244)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.21628 46.30244)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.21628 46.30244)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.34523 46.37522)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.39781 46.32153)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.39781 46.32153)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.76189 46.21489)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.8396 46.23302)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.6959 46.43067)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.74827 46.35882)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.8263 46.34097)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.8263 46.34097)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.81343 46.30496)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.8783 46.32304)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.9173 46.29608)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.95621 46.34109)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.95621 46.34109)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.89148 46.22408)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.89148 46.22408)"
"136","bajta","sla","sub","f","5","baita","vor","POINT(14.89148 46.22408)"
"2641","bajtica","sla","sub","f","5","baita","vor","POINT(14.11633 46.05878)"
"2997","bajtrga","sla","sub",,"5","baita","vor","POINT(14.63059 46.46647)"
"3302","bajta","sla","sub",,"5","baita","vor","POINT(13.348281 46.508644)"
"3302","bajta","sla","sub",,"5","baita","vor","POINT(13.471389 46.510556)"
"3302","bajta","sla","sub",,"5","baita","vor","POINT(12.866844 46.480746)"
"3302","bajta","sla","sub",,"5","baita","vor","POINT(12.7906 46.4179)"
"3302","bajta","sla","sub",,"5","baita","vor","POINT(13.9998398895264 45.99805557250978)"
"3302","bajta","sla","sub",,"5","baita","vor","POINT(14.072283222990265 46.46087142656437)"
"3302","bajta","sla","sub",,"5","baita","vor","POINT(14.323170733451867 46.25680475234986)"
"7513","baita","gem","sub",,"5","baita","vor","POINT(13.00396 46.58379)"
"7513","baita","gem","sub",,"5","baita","vor","POINT(13.00396 46.58379)"
"7515","baitin","gem","sub",,"5","baita","vor","POINT(13.00396 46.58379)"
"390","Bergstaffel","gem","sub","m","8","Stabulum","lat","POINT(7.289085 46.741791)"
"395","Staffel","gem","sub","m","8","Stabulum","lat","POINT(7.382209 46.546649)"
"395","Staffel","gem","sub","m","8","Stabulum","lat","POINT(7.293467 46.57356)"
"395","Staffel","gem","sub","m","8","Stabulum","lat","POINT(7.276789 46.479972)"
"395","Staffel","gem","sub","m","8","Stabulum","lat","POINT(7.267969 46.386393)"
"395","Staffel","gem","sub","m","8","Stabulum","lat","POINT(7.323791 46.425149)"
"395","Staffel","gem","sub","m","8","Stabulum","lat","POINT(7.396581 46.510669)"
"395","Staffel","gem","sub","m","8","Stabulum","lat","POINT(7.478612 46.421603)"
"395","Staffel","gem","sub","m","8","Stabulum","lat","POINT(7.618276 46.561818)"
"395","Staffel","gem","sub","m","8","Stabulum","lat","POINT(7.559432 46.49442)"
"395","Staffel","gem","sub","m","8","Stabulum","lat","POINT(7.663867 46.547342)"
"395","Staffel","gem","sub","m","8","Stabulum","lat","POINT(7.694853 46.481601)"
"395","Staffel","gem","sub","m","8","Stabulum","lat","POINT(7.279002 46.612226)"
"4188","Stabile","gem","sub",,"8","Stabulum","lat","POINT(11.007487 46.965389)"
"4871","Staffel","gem","sub",,"8","Stabulum","lat","POINT(7.565051886061573 46.47602738931146)"
"4871","Staffel","gem","sub",,"8","Stabulum","lat","POINT(7.565051886061573 46.47602738931146)"
"4871","Staffel","gem","sub",,"8","Stabulum","lat","POINT(9.137567938568884 46.58916994192553)"
"4871","Staffel","gem","sub",,"8","Stabulum","lat","POINT(9.137567938568884 46.58916994192553)"
"4871","Staffel","gem","sub",,"8","Stabulum","lat","POINT(7.292085033446452 46.48426944272527)"
"4871","Staffel","gem","sub",,"8","Stabulum","lat","POINT(7.292085033446452 46.48426944272527)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.157518 47.3776)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.300235 47.215922)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.658884 47.198397)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.76613 47.225424)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.69606 47.20532)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(12.228325 47.246133)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.761331 47.180502)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.731088 47.168625)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.774496 47.204054)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.91285 47.17662)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.158109 47.139108)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.29271 47.14084)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.341187 47.14815)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.409332 47.14845)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.461611 47.125987)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.496908 47.102682)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.440147 47.082582)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.589454 47.157587)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.515455 47.141438)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.54848 47.126977)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.62797 47.120494)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.585738 47.115992)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.689671 47.134559)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.673843 47.110537)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.92613 47.135821)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(12.088855 46.831638)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.288056 47.013056)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.375762 47.063371)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.648961 47.074828)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.619473 47.056265)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.608524 47.018023)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.691244 47.078006)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.676701 47.05413)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.745359 47.02977)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(10.970136 47.074023)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(11.68898 46.717564)"
"91","Teie(n)","gem","sub",,"9","*tegia","vor","POINT(12.580306 46.931802)"
